Mesh ID,Generic name,Common name,Synonyms,Tree
D061207,Calcimycin,Calcimycin,"Calcimycin|A23187|Antibiotic A23187|A 23187|A23187, Antibiotic|A-23187|4-Benzoxazolecarboxylic acid, 5-(methylamino)-2-((3,9,11-trimethyl-8-(1-methyl-2-oxo-2-(1H-pyrrol-2-yl)ethyl)-1,7-dioxaspiro(5.5)undec-2-yl)methyl)-, (6S-(6alpha(2S*,3S*),8beta(R*),9beta,11alpha))-",D02.355.291.933.125|D02.540.576.625.125|D03.633.100.221.173|D04.345.674.625.125|D04.345.241.654.125
D007306,Temefos,Temefos,Abate|Difos|Temephos|Temefos,D02.705.539.345.800|D02.886.300.692.800|D02.705.400.625.800
D000017,ABO Blood-Group System,ABO Blood-Group System,"ABO Blood Group|System, ABO Blood-Group|Blood-Group System, ABO|Factors, ABO|Blood Group, ABH|Blood Group H Type 1 Antigen|ABO Factors|Blood Group, ABO|ABH Blood Group|Blood Group, H|H Blood Group System|ABO Blood Group System|ABO Blood-Group System|H Blood Group",D23.050.301.290.031|D23.050.705.230.031
D010120,Abortifacient Agents,Abortifacient Agents,"Abortifacient Agents|Agents, Abortifacient|Agents, Postconception Contraceptive|Abortifacients|Abortifacient Effect|Contraceptive Agents, Postconception|Effects, Abortifacient|Effect, Abortifacient|Postconception Contraceptive Agents|Abortifacient Effects",D27.505.954.705.131|D27.505.696.875.131
D000020,"Abortifacient Agents, Nonsteroidal","Abortifacient Agents, Nonsteroidal","Abortifacient Agents, Nonsteroidal|Non-Steroidal Abortifacient Agents|Abortifacient Agents, Non-Steroidal|Nonsteroidal Abortifacient Agents|Abortifacient Agents, Non Steroidal|Agents, Non-Steroidal Abortifacient|Agents, Nonsteroidal Abortifacient",D27.505.696.875.131.100|D27.505.954.705.131.100
D000021,"Abortifacient Agents, Steroidal","Abortifacient Agents, Steroidal","Steroidal Abortifacient Agents|Steroid Abortifacients|Abortifacient Agents, Steroidal|Agents, Steroidal Abortifacient|Abortifacients, Steroid",D27.505.954.705.131.200|D27.505.696.875.131.200
D000036,Abrin,Abrin,Abrin|Abrin C|Abrin A,D08.811.277.450.430.700.750.111|D12.776.765.678.906.111|D12.776.503.499.249
D010937,Abscisic Acid,Abscisic Acid,"Abscisic Acid, (+,-)-Isomer|Abscisic Acid, (E,E)-(+-)-Isomer|Abscisic Acid, (E,Z)-(+,-)-Isomer|Abscissic Acid|Abscisic Acid, (R)-Isomer|Abscissins|Abscisic Acid, (Z,E)-Isomer|2,4-Pentadienoic acid, 5-(1-hydroxy-2,6,6-trimethyl-4-oxo-2-cyclohexen-1-yl)-3-methyl-, (S-(Z,E))-|Abscisic Acid|Abscisic Acid Monoammonium Salt, (R)-Isomer",D02.455.426.392.368.367.379.249.024|D02.455.849.765.521.500|D02.455.326.271.665.202.061|D02.241.223.268.034|D02.455.849.131.061
D058671,Acebutolol,Acebutolol,&|Apo Acebutolol| B 17803A|M |ApoAcebutolol|Apo-Acebutolol|Acebutolol|Sectral|B 17803 A|Novo Acebutolol|Rhotral|NovoAcebutolol|M|Acetobutolol|Acebutolol Hydrochloride|Novo-Acebutolol|Monitan|Prent|B17803 A|Neptal|B-17803 A,D02.033.100.624.698.025|D02.033.755.624.698.025|D02.092.063.624.698.025
D007917,Acedapsone,Acedapsone,"DADDS|Acetyldiphenazonum|Sulfadiamine|Diacetyldapsone|Acedapsone|4,4' Diacetyldiaminodiphenylsulfone|4,4'-Diacetyldiaminodiphenylsulfone|4',4'''-Sulfonylbis(acetanilide)|Hansolar|Rodilone",D02.886.590.263.050
